"","...1","LC","T_MAPCODE","n","km2","mapwaps"
"516",7300,4,"SVl3",9163,3.6652,8
"517",7301,5,"SVl3",1270,0.508,8
"518",7302,6,"SVl3",1,4e-04,8
"519",7303,7,"SVl3",262,0.1048,8
"520",7321,1,"SVl6",104,0.0416,8
"521",7322,2,"SVl6",26,0.0104,8
"522",7323,3,"SVl6",11,0.0044,8
"523",7324,4,"SVl6",2,8e-04,8
"524",7325,5,"SVl6",5,0.002,8
"525",7329,1,"SVl7",9817,3.9268,8
"526",7330,2,"SVl7",961,0.3844,8
"527",7332,4,"SVl7",276,0.1104,8
"528",7333,5,"SVl7",53,0.0212,8
"529",7335,7,"SVl7",56,0.0224,8
"530",7337,1,"SVl8",26933,10.7732,8
"531",7338,2,"SVl8",15660,6.264,8
"532",7339,3,"SVl8",219,0.0876,8
"533",7340,4,"SVl8",9580,3.832,8
"534",7341,5,"SVl8",26376,10.5504,8
"535",7343,7,"SVl8",8433,3.3732,8
"536",7345,1,"SVl9",77697,31.0788,8
"537",7346,2,"SVl9",78090,31.236,8
"538",7347,3,"SVl9",2158,0.8632,8
"539",7348,4,"SVl9",22954,9.1816,8
"540",7349,5,"SVl9",44144,17.6576,8
"541",7350,6,"SVl9",19,0.0076,8
"542",7351,7,"SVl9",1066933,426.7732,8
"543",7353,1,"SVmp1",184,0.0736,8
"544",7354,2,"SVmp1",24,0.0096,8
"545",7356,4,"SVmp1",2,8e-04,8
"546",7357,5,"SVmp1",1,4e-04,8
"547",7359,7,"SVmp1",1,4e-04,8
"548",7361,1,"SVmp2",493,0.1972,8
"549",7369,1,"SVmp3",106,0.0424,8
"550",7417,1,"SVs1",12015,4.806,8
"551",7418,2,"SVs1",771,0.3084,8
"552",7419,3,"SVs1",5,0.002,8
"553",7420,4,"SVs1",35,0.014,8
"554",7421,5,"SVs1",131,0.0524,8
"555",7425,1,"SVs2",19787,7.9148,8
"556",7426,2,"SVs2",1005,0.402,8
"557",7427,3,"SVs2",174,0.0696,8
"558",7428,4,"SVs2",427,0.1708,8
"559",7429,5,"SVs2",105,0.042,8
"560",7430,6,"SVs2",1,4e-04,8
"561",7431,7,"SVs2",190,0.076,8
"562",7441,1,"SVs4",3995,1.598,8
"563",7442,2,"SVs4",1439,0.5756,8
"564",7443,3,"SVs4",4,0.0016,8
"565",7444,4,"SVs4",2281,0.9124,8
"566",7445,5,"SVs4",561,0.2244,8
"567",7447,7,"SVs4",695,0.278,8
"568",7457,1,"SVs6",323970,129.588,8
"569",7458,2,"SVs6",50365,20.146,8
"570",7459,3,"SVs6",22,0.0088,8
"571",7460,4,"SVs6",4414,1.7656,8
"572",7461,5,"SVs6",6246,2.4984,8
"573",7463,7,"SVs6",3423,1.3692,8
"574",7465,1,"SVs7",1490,0.596,8
"575",7466,2,"SVs7",114,0.0456,8
"576",7468,4,"SVs7",168,0.0672,8
"577",7469,5,"SVs7",32,0.0128,8
"578",7471,7,"SVs7",716,0.2864,8
"579",7489,1,"AT15",36437,14.5748,99
"580",7490,2,"AT15",57,0.0228,99
"581",7491,3,"AT15",5,0.002,99
"582",7492,4,"AT15",3,0.0012,99
"583",7497,1,"AT16",127912,51.1648,99
"584",7498,2,"AT16",3804,1.5216,99
"585",7499,3,"AT16",167,0.0668,99
"586",7500,4,"AT16",216,0.0864,99
"587",7501,5,"AT16",950,0.38,99
"588",7502,6,"AT16",1374,0.5496,99
