"","T_MAPCODE","prpinv_niaps","D3_niaps","B1i_niaps","B2i_niaps","prpinv_cfs_iat","D3_cfr_iat","B1i_cfr_iat","B2i_cfr_iat","prpinv_mapwaps","D1_mapwaps","B1i_mapwaps","B2i_mapwaps","prpinv_umgeni","D1_um","B1i_um","B2i_um","prpinv_max","D3_inv","B1i_inv","B2i_inv"
"341","SKv7",0.00280180231011663,1,1,1,0.00090740188452641,1,1,1,NA,0,0,0,NA,0,0,0,0.00280180231011663,1,1,1
"342","SKv8",0.00116598209346128,1,1,1,0.0000096139348950433,1,1,1,NA,0,0,0,NA,0,0,0,0.00116598209346128,1,1,1
"343","SVcb1",0.000000469770355893324,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.000000469770355893324,1,1,1
"344","SVcb10",0.028162048889202,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.028162048889202,1,1,1
"345","SVcb11",0.00815434857686687,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00815434857686687,1,1,1
"346","SVcb12",0.0049638379668723,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0049638379668723,1,1,1
"347","SVcb13",0.00834623144874007,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00834623144874007,1,1,1
"348","SVcb14",0.00162637298879126,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00162637298879126,1,1,1
"349","SVcb15",0.000869506644254709,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.000869506644254709,1,1,1
"350","SVcb16",0.000267548991341517,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.000267548991341517,1,1,1
"351","SVcb17",0.00366467404681833,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00366467404681833,1,1,1
"352","SVcb18",0.000730797685156583,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.000730797685156583,1,1,1
"353","SVcb19",0,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,1,1,1
"354","SVcb2",0.0000453592133671371,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0000453592133671371,1,1,1
"355","SVcb20",0.00611605179337623,1,1,1,NA,0,0,0,0.00176021385472879,1,1,1,NA,0,0,0,0.00611605179337623,1,1,1
"356","SVcb21",0.0168424467324345,1,1,1,NA,0,0,0,0.0426379552294378,1,1,1,NA,0,0,0,0.0426379552294378,1,1,1
"357","SVcb22",0,1,1,1,NA,0,0,0,0.112866817155756,1,1,1,NA,0,0,0,0.112866817155756,1,1,1
"358","SVcb23",0.00595989495951101,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.00595989495951101,1,1,1
"359","SVcb24",0.0178288930360265,1,1,1,NA,0,0,0,NA,0,0,0,NA,0,0,0,0.0178288930360265,1,1,1
