"","nlc2022_7class","T_MAPCODE","niaps_arc","n"
"681","1","FFa3","0",298328
"682","2","FFa3","0",174786
"683","3","FFa3","0",49277
"684","4","FFa3","0",92270
"685","5","FFa3","0",489336
"686","6","FFa3","0",316
"687","7","FFa3","0",20690
"688","NaN","FFa3","0",0
"689","1","FFa4","0",9975
"690","2","FFa4","0",13130
"691","3","FFa4","0",563
"692","4","FFa4","0",48751
"693","5","FFa4","0",12223
"694","6","FFa4","0",2
"695","7","FFa4","0",246
"696","NaN","FFa4","0",0
"697","1","FFb1","0",639217
"698","2","FFb1","0",19268
"699","3","FFb1","0",2679
"700","4","FFb1","0",1235
"701","5","FFb1","0",26780
"702","6","FFb1","0",20
"703","7","FFb1","0",1004
"704","NaN","FFb1","0",0
"705","1","FFb2","0",280169
"706","2","FFb2","0",7259
"707","3","FFb2","0",130
"708","4","FFb2","0",115
"709","5","FFb2","0",2031
"710","6","FFb2","0",0
"711","7","FFb2","0",3309
"712","NaN","FFb2","0",0
"713","1","FFb3","0",243295
"714","2","FFb3","0",127
"715","3","FFb3","0",31
"716","4","FFb3","0",69
"717","5","FFb3","0",145
"718","6","FFb3","0",0
"719","7","FFb3","0",3
"720","NaN","FFb3","0",0
"721","1","FFb4","0",111552
"722","2","FFb4","0",4469
"723","3","FFb4","0",24
"724","4","FFb4","0",238
"725","5","FFb4","0",11022
"726","6","FFb4","0",0
"727","7","FFb4","0",2885
"728","NaN","FFb4","0",0
"729","1","FFb5","0",235529
"730","2","FFb5","0",12121
"731","3","FFb5","0",289
"732","4","FFb5","0",603
"733","5","FFb5","0",17393
"734","6","FFb5","0",9
"735","7","FFb5","0",318
"736","NaN","FFb5","0",0
"737","1","FFb6","0",55148
"738","2","FFb6","0",19214
"739","3","FFb6","0",1472
"740","4","FFb6","0",6256
"741","5","FFb6","0",61992
"742","6","FFb6","0",28
"743","7","FFb6","0",24867
"744","NaN","FFb6","0",0
"745","1","FFc1","0",714218
"746","2","FFc1","0",193233
"747","3","FFc1","0",3519
"748","4","FFc1","0",20873
"749","5","FFc1","0",864775
"750","6","FFc1","0",466
"751","7","FFc1","0",11591
"752","NaN","FFc1","0",0
"753","1","FFd1","0",2766688
"754","2","FFd1","0",304049
"755","3","FFd1","0",1
"756","4","FFd1","0",1086
"757","5","FFd1","0",176197
"758","6","FFd1","0",4418
"759","7","FFd1","0",3
"760","NaN","FFd1","0",0
"761","1","FFd10","0",57202
"762","2","FFd10","0",18554
"763","3","FFd10","0",314
"764","4","FFd10","0",23889
"765","5","FFd10","0",13320
"766","6","FFd10","0",61
"767","7","FFd10","0",238839
"768","NaN","FFd10","0",0
"769","1","FFd11","0",102955
"770","2","FFd11","0",3930
"771","3","FFd11","0",152
"772","4","FFd11","0",3654
"773","5","FFd11","0",31701
"774","6","FFd11","0",601
"775","7","FFd11","0",143
"776","NaN","FFd11","0",0
"777","1","FFd2","0",1848235
"778","2","FFd2","0",849723
"779","3","FFd2","0",3529
"780","4","FFd2","0",23594
"781","5","FFd2","0",2348928
"782","6","FFd2","0",1032
"783","7","FFd2","0",4453
"784","NaN","FFd2","0",0
"785","1","FFd3","0",1498170
"786","2","FFd3","0",386235
"787","3","FFd3","0",2346
"788","4","FFd3","0",19614
"789","5","FFd3","0",510050
"790","6","FFd3","0",264
"791","7","FFd3","0",1065
"792","NaN","FFd3","0",0
"793","1","FFd4","0",511539
"794","2","FFd4","0",275664
"795","3","FFd4","0",2301
"796","4","FFd4","0",51334
"797","5","FFd4","0",448754
"798","6","FFd4","0",3469
"799","7","FFd4","0",2711
"800","NaN","FFd4","0",0
"801","1","FFd5","0",143091
"802","2","FFd5","0",105854
"803","3","FFd5","0",4035
"804","4","FFd5","0",860478
"805","5","FFd5","0",157531
"806","6","FFd5","0",3758
"807","7","FFd5","0",6763
"808","NaN","FFd5","0",0
"809","1","FFd6","0",107111
"810","2","FFd6","0",10956
"811","3","FFd6","0",247
"812","4","FFd6","0",74554
"813","5","FFd6","0",1571
"814","6","FFd6","0",154
"815","7","FFd6","0",692
"816","NaN","FFd6","0",0
"817","1","FFd7","0",260872
"818","2","FFd7","0",49138
"819","3","FFd7","0",906
"820","4","FFd7","0",5151
"821","5","FFd7","0",254899
"822","6","FFd7","0",159
"823","7","FFd7","0",857
"824","NaN","FFd7","0",0
"825","1","FFd8","0",99315
"826","2","FFd8","0",19488
"827","3","FFd8","0",89165
"828","4","FFd8","0",1718
"829","5","FFd8","0",21749
"830","6","FFd8","0",1342
"831","7","FFd8","0",113
"832","NaN","FFd8","0",0
"833","1","FFd9","0",623247
"834","2","FFd9","0",186645
"835","3","FFd9","0",155
"836","4","FFd9","0",13836
"837","5","FFd9","0",408538
"838","6","FFd9","0",304
"839","7","FFd9","0",2075
"840","NaN","FFd9","0",0
"841","1","FFf1","0",420109
"842","2","FFf1","0",197539
"843","3","FFf1","0",4781
"844","4","FFf1","0",21643
"845","5","FFf1","0",860046
"846","6","FFf1","0",501
"847","7","FFf1","0",6772
"848","NaN","FFf1","0",0
"849","1","FFf2","0",41592
"850","2","FFf2","0",17590
"851","3","FFf2","0",106
"852","4","FFf2","0",351
"853","5","FFf2","0",30082
"854","6","FFf2","0",8
"855","7","FFf2","0",234
"856","NaN","FFf2","0",0
"857","1","FFg1","0",160056
"858","2","FFg1","0",314
"859","3","FFg1","0",0
"860","4","FFg1","0",413
"861","5","FFg1","0",1261
"862","6","FFg1","0",0
"863","7","FFg1","0",0
"864","NaN","FFg1","0",0
"865","1","FFg2","0",534535
"866","2","FFg2","0",156189
"867","3","FFg2","0",21204
"868","4","FFg2","0",95377
"869","5","FFg2","0",211601
"870","6","FFg2","0",258
"871","7","FFg2","0",76619
"872","NaN","FFg2","0",0
"873","1","FFg3","0",73252
"874","2","FFg3","0",17824
"875","3","FFg3","0",204
"876","4","FFg3","0",101798
