"","LC","T_MAPCODE","n","km2","um"
"673",4,"Dn3",6343,2.5372,99
"674",6,"Dn3",26514,10.6056,99
"675",1,"Dn4",486903,194.7612,99
"676",2,"Dn4",6137,2.4548,99
"677",3,"Dn4",227,0.0908,99
"678",4,"Dn4",3831,1.5324,99
"679",5,"Dn4",2606,1.0424,99
"680",6,"Dn4",42833,17.1332,99
"681",1,"Dn5",961011,384.4044,99
"682",2,"Dn5",6644,2.6576,99
"683",3,"Dn5",280,0.112,99
"684",4,"Dn5",4202,1.6808,99
"685",6,"Dn5",73552,29.4208,99
"686",1,"FFa1",132407,52.9628,99
"687",2,"FFa1",56498,22.5992,99
"688",3,"FFa1",19306,7.7224,99
"689",4,"FFa1",2436,0.9744,99
"690",5,"FFa1",239118,95.6472,99
