"","LC","T_MAPCODE","niaps_arc","n","km2"
"482",3,"Dg7",0,34,0.0136
"483",4,"Dg7",0,3269,1.3076
"484",5,"Dg7",0,1072,0.4288
"485",6,"Dg7",0,2137,0.8548
"486",1,"Dg8",0,857309,342.9236
"487",2,"Dg8",0,70,0.028
"488",3,"Dg8",0,16,0.0064
"489",4,"Dg8",0,482,0.1928
"490",6,"Dg8",0,119,0.0476
"491",1,"Dg9",0,2994754,1197.9016
"492",2,"Dg9",0,18307,7.3228
"493",3,"Dg9",0,38,0.0152
"494",4,"Dg9",0,18773,7.5092
"495",5,"Dg9",0,10237,4.0948
"496",6,"Dg9",0,1597,0.6388
"497",7,"Dg9",0,149,0.0596
"498",1,"Dn1",0,3383,1.3532
"499",2,"Dn1",0,1310,0.524
"500",3,"Dn1",0,39,0.0156
"501",4,"Dn1",0,1366,0.5464
"502",6,"Dn1",0,36634,14.6536
"503",1,"Dn2",0,2525,1.01
"504",2,"Dn2",0,230,0.092
"505",6,"Dn2",0,1102,0.4408
"506",1,"Dn3",0,306486,122.5944
"507",2,"Dn3",0,10422,4.1688
"508",3,"Dn3",0,31,0.0124
"509",4,"Dn3",0,6343,2.5372
"510",6,"Dn3",0,26514,10.6056
"511",1,"Dn4",0,486745,194.698
"512",2,"Dn4",0,6036,2.4144
"513",3,"Dn4",0,227,0.0908
"514",4,"Dn4",0,3818,1.5272
"515",5,"Dn4",0,2587,1.0348
"516",6,"Dn4",0,42814,17.1256
"517",1,"Dn5",0,960818,384.3272
"518",2,"Dn5",0,6643,2.6572
"519",3,"Dn5",0,279,0.1116
"520",4,"Dn5",0,4194,1.6776
"521",6,"Dn5",0,73544,29.4176
"522",1,"FFa1",0,120804,48.3216
"523",2,"FFa1",0,53322,21.3288
"524",3,"FFa1",0,19270,7.708
"525",4,"FFa1",0,2378,0.9512
"526",5,"FFa1",0,238417,95.3668
"527",6,"FFa1",0,23,0.0092
"528",7,"FFa1",0,213,0.0852
"529",1,"FFa2",0,337443,134.9772
"530",2,"FFa2",0,145513,58.2052
"531",3,"FFa2",0,11414,4.5656
"532",4,"FFa2",0,47771,19.1084
"533",5,"FFa2",0,585565,234.226
"534",6,"FFa2",0,639,0.2556
"535",7,"FFa2",0,8375,3.35
"536",1,"FFa3",0,298328,119.3312
"537",2,"FFa3",0,174786,69.9144
"538",3,"FFa3",0,49277,19.7108
"539",4,"FFa3",0,92270,36.908
"540",5,"FFa3",0,489336,195.7344
"541",6,"FFa3",0,316,0.1264
"542",7,"FFa3",0,20690,8.276
"543",1,"FFa4",0,9975,3.99
"544",2,"FFa4",0,13130,5.252
"545",3,"FFa4",0,563,0.2252
"546",4,"FFa4",0,48751,19.5004
"547",5,"FFa4",0,12223,4.8892
"548",6,"FFa4",0,2,8e-04
"549",7,"FFa4",0,246,0.0984
"550",1,"FFb1",0,639217,255.6868
"551",2,"FFb1",0,19268,7.7072
"552",3,"FFb1",0,2679,1.0716
"553",4,"FFb1",0,1235,0.494
"554",5,"FFb1",0,26780,10.712
"555",6,"FFb1",0,20,0.008
"556",7,"FFb1",0,1004,0.4016
"557",1,"FFb2",0,280169,112.0676
"558",2,"FFb2",0,7259,2.9036
